Annees;à 0 an (H);à 1 an (H);à 20 ans (H);à 40 ans (H);à 60 ans (H);à 65 ans (H);à 0 an (F);à 1 an (F);à 20 ans (F);à 40 ans (F);à 60 ans (F);à 65 ans (F)
1946;59,9;64,4;48;30,8;15,4;12,2;65,2;68,9;52,2;34,7;18;14,3
1947;61,2;65,3;48,4;30,9;15,5;12,3;66,7;70;52,9;35,1;18,2;14,5
1948;62,7;65,9;48,5;30,9;15,6;12,5;68,8;71,2;53,6;35,6;18,7;15
1949;62,2;65,5;48,2;30,3;14,9;11,7;67,6;70,2;52,7;34,5;17,7;14
1950;63,4;66,2;48,7;30,7;15,4;12,2;69,2;71,4;53,6;35,2;18,4;14,6
1951;63,1;65,9;48,2;30,2;14,9;11,8;68,9;71;53,2;34,8;17,9;14,2
1952;64,4;66,8;49,1;30,9;15,5;12,3;70,2;72,1;54,2;35,6;18,6;14,8
1953;64,3;66,4;48,6;30,3;15;11,8;70,3;71,8;53,8;35,1;18,1;14,4
1954;65;67,1;49,2;31;15,5;12,4;71,2;72,8;54,7;35,9;18,9;15,1
1955;65,1;67,1;49,2;30,9;15,4;12,3;71,5;73;54,8;36;18,9;15,1
1956;65,2;66,9;48,9;30,6;15,2;12;71,7;72,9;54,7;35,9;18,7;14,9
1957;65,5;67;49,1;30,8;15,3;12,2;72,2;73,4;55,2;36,3;19;15,2
1958;66,8;68,3;50,2;31,8;16;12,8;73,2;74,3;56;37;19,5;15,6
1959;66,9;68,1;50,1;31,7;15,9;12,8;73,4;74,3;56;37;19,6;15,7
1960;67;68,1;50;31,5;15,7;12,6;73,6;74,4;56;37;19,5;15,6
1961;67,55;68,5;50,3;32;16,1;13;74,4;75,1;56,7;37,6;20,1;16,1
1962;67,1;68;49,9;31,5;15,7;12,5;73,9;74,6;56,2;37,1;19,6;15,7
1963;66,7;67,8;49,7;31,2;15,5;12,4;73,8;74,3;56,1;37,1;19,5;15,6
1964;67,7;68,5;50,3;31,9;16;12,9;74,8;75,2;57;37,9;20,3;16,3
1965;67,5;68,1;50;31,6;15,7;12,6;74,7;75;56,7;37,7;20,1;16,1
1966;67,9;68,5;50,3;31,9;16,1;12,9;75,2;75,5;57,2;38,1;20,5;16,5
1967;67,85;68,4;50,2;31,8;15,9;12,8;75,2;75,4;57,1;38;20,4;16,5
1968;67,8;68,3;50,2;31,7;15,8;12,7;75,2;75,5;57,2;38;20,4;16,4
1969;67,4;67,9;49,8;31,4;15,6;12,5;75,1;75,4;57;37,8;20,2;16,3
1970;68,4;68,8;50,7;32,3;16,2;13;75,9;76,1;57,6;38,5;20,8;16,8
1971;68,3;68,7;50,5;32,1;16,2;13;75,9;76,1;57,7;38,5;20,8;16,8
1972;68,5;68,7;50,6;32,3;16,4;13,1;76,2;76,3;57,9;38,7;21,1;17
1973;68,7;68,9;50,8;32,3;16,4;13,1;76,3;76,4;57,9;38,8;21;17
1974;68,9;69,1;50,9;32,5;16,5;13,3;76,7;76,7;58,3;39,1;21,3;17,2
1975;69;69,1;50,9;32,4;16,5;13,2;76,9;76,8;58,3;39,1;21,3;17,2
1976;69,2;69,2;50,9;32,5;16,6;13,3;77,2;77,1;58,6;39,3;21,5;17,4
1977;69,7;69,7;51,4;33;17;13,7;77,8;77,6;59,1;39,9;22;17,9
1978;69,8;69,7;51,5;32,9;17;13,6;77,9;77,7;59,2;39,9;22;17,9
1979;70,1;69,9;51,6;33,2;17,2;13,9;78,3;78;59,4;40,2;22,3;18,1
1980;70,2;70;51,8;33,3;17,3;13,9;78,4;78,1;59,6;40,3;22,4;18,2
1981;70,4;70,2;51,9;33,4;17,3;14;78,5;78,1;59,6;40,4;22,3;18,2
1982;70,77;70,5;52,2;33,7;17,7;14,3;78,9;78,5;60;40,7;22,7;18,5
1983;70,7;70,5;52,1;33,7;17,6;14,2;78,8;78,4;59,9;40,6;22,6;18,4
1984;71,2;70,8;52,4;34;17,9;14,5;79,3;78,9;60,3;41,1;23;18,8
1985;71,3;70,9;52,5;34;17,9;14,5;79,4;79;60,4;41,1;23;18,8
1986;71,5;71,2;52,8;34,3;18,1;14,7;79,7;79,3;60,7;41,3;23,2;19
1987;72;71,7;53,2;34,7;18,4;15;80,3;79,8;61,2;41,8;23,7;19,4
1988;72,3;72;53,5;35,1;18,7;15,3;80,5;80;61,3;42;23,8;19,6
1989;72,5;72,1;53,6;35,2;18,8;15,4;80,6;80,2;61,5;42,2;24;19,7
1990;72,7;72,4;53,9;35,5;19;15,6;81;80,5;61,8;42,5;24,2;19,9
1991;72,9;72,5;54;35,7;19,2;15,7;81,2;80,7;62;42,7;24,4;20,1
1992;73,2;72,7;54,2;35,9;19,3;15,9;81,5;80,9;62,2;42,9;24,7;20,4
1993;73,3;72,8;54,3;36;19,4;15,9;81,5;80,9;62,2;42,9;24,6;20,4
1994;73,7;73,2;54,6;36,3;19,7;16,2;81,9;81,3;62,6;43,3;25;20,7
1995;73,9;73,3;54,7;36,3;19,7;16,1;81,9;81,3;62,6;43,3;24,9;20,6
1996;74,1;73,5;54,9;36,4;19,7;16,1;82,1;81,4;62,7;43,3;25;20,7
1997;74,6;74;55,4;36,7;19,9;16,3;82,3;81,7;62,9;43,5;25,2;20,9
1998;74,8;74,2;55,5;36,8;20;16,4;82,4;81,8;63;43,6;25,3;20,9
1999;75;74,4;55,8;37;20,2;16,5;82,5;81,8;63,1;43,7;25,3;21
2000;75,3;74,7;56,1;37,3;20,5;16,7;82,8;82,1;63,4;43,9;25,6;21,2
2001;75,5;74,9;56,3;37,5;20,7;16,9;82,9;82,3;63,5;44,1;25,7;21,4
2002;75,8;75,1;56,5;37,6;20,8;17,1;83,1;82,4;63,6;44,1;25,8;21,4
2003;75,9;75,2;56,5;37,7;20,8;17,1;83;82,3;63,5;44;25,6;21,3
2004;76,7;76,1;57,4;38,4;21,5;17,7;83,9;83,2;64,4;44,9;26,5;22,2
2005;76,8;76,1;57,4;38,4;21,5;17,7;83,9;83,1;64,3;44,8;26,4;22
2006;77,2;76,5;57,8;38,8;21,8;18;84,2;83,5;64,7;45,1;26,8;22,4
2007;77,4;76,8;58;39;21,9;18,1;84,4;83,7;64,9;45,3;26,9;22,5
2008;77,6;76,9;58,2;39,2;22;18,3;84,4;83,6;64,8;45,3;26,9;22,5
2009;77,8;77,1;58,4;39,3;22,2;18,4;84,5;83,7;64,9;45,4;27;22,6
2010;78;77,3;58,6;39,5;22,4;18,6;84,7;84;65,1;45,5;27,1;22,7
2011;78,4;77,7;59;39,9;22,7;18,9;85;84,3;65,4;45,8;27,4;23
2012;78,5;77,8;59;39,9;22,6;18,8;84,8;84,1;65,3;45,7;27,2;22,8
2013;78,8;78,1;59,3;40,2;22,8;19;85;84,3;65,5;45,9;27,4;23
2014;79,3;78,6;59,8;40,6;23,2;19,3;85,4;84,7;65,8;46,2;27,7;23,3
2015;79;78,3;59,6;40,4;22,9;19,1;85,1;84,4;65,6;45,9;27,4;23
2016;79,32;78,6;59,8;40,6;23,1;19,3;85,3;84,6;65,8;46,1;27,6;23,2
2017;79,5;78,8;60;40,8;23,2;19,4;85,3;84,6;65,8;46,1;27,6;23,2
2018;79,6;78,9;60,1;40,9;23,3;19,5;85,5;84,8;65,9;46,3;27,7;23,4
2019;79,8;79,1;60,3;41,1;23,4;19,6;85,6;84,9;66;46,4;27,8;23,4
2020;79,2;78,5;59,7;40,5;22,8;18,9;85,2;84,4;65,6;45,9;27,3;22,9
2021;79,35;78,6;59,8;40,6;22,9;19,1;85,3;84,6;65,7;46,1;27,4;23,1
2022;79,4;78,7;59,9;40,7;23;19,2;85,2;84,5;65,6;46;27,4;23
2023;80,1;79,4;60,7;41,5;23,7;19,8;85,8;85,1;66,3;46,6;28;23,6
